Beach,Latitude,Longitude
Calumet,41.7179,-87.5294
Rainbow,41.759351,-87.551094
South Shore,41.769032,-87.561823
63rd Street,41.782470,-87.573505
57th Street,41.791359,-87.578961
Margaret T Burroughs,41.839544,-87.606828
12th Street,41.863798,-87.607380
Ohio Street,41.893603,-87.612962
Oak Street,41.903014,-87.622637
North Avenue,41.916990,-87.626898
Montrose,41.967167,-87.639156
Foster,41.979564,-87.649698
Osterman,41.987411,-87.652474
Lane,41.989872,-87.654114
Hartigan,42.002896,-87.656605
North Shore,42.003658,-87.656769
Columbia,42.007354,-87.657050
Leone,42.012830,-87.661298
Marion Mahoney Griffin,42.015733,-87.662422
Howard,42.018919,-87.663829
Rogers,42.021585,-87.664599
Juneway,42.022396,-87.665137
Fargo,42.017007,-87.662941
Loyola,42.009605,-87.658496
Oakwood,41.821451,-87.595399
