beach,weather,water,park
Juneway,Foster,Montrose,1
Rogers,Foster,Montrose,1
Howard,Foster,Montrose,1
Fargo,Foster,Montrose,1
Marion Mahoney Griffin,Foster,Montrose,1
Leone,Foster,Montrose,1
Loyola,Foster,Montrose,1
Tobey Prinz,Foster,Montrose,1
Columbia,Foster,Montrose,1
North Shore,Foster,Montrose,1
Hartigan,Foster,Montrose,1
Lane,Foster,Montrose,1
Osterman,Foster,Montrose,0
Foster,Foster,Montrose,1
Montrose,Foster,Montrose,0
Montrose Dog,Foster,Montrose,0
North Avenue,Oak Street,Ohio Street,
Oak Street,Oak Street,Ohio Street,0
Ohio Street,Oak Street,Ohio Street,0
12th Street,Oak Street,Ohio Street,1
Margaret T Burroughs,63rd Street,Ohio Street,1
Oakwood,63rd Street,Calumet,0
57th Street,63rd Street,Calumet,0
63rd Street,63rd Street,Calumet,1
South Shore,63rd Street,Calumet,0
Rainbow,63rd Street,Calumet,1
Calumet,63rd Street,Calumet,1
