Date,beach,Beach_Name
5/1/2016,57th Street,57th
5/2/2016,57th Street,57th
5/3/2016,57th Street,57th
5/4/2016,57th Street,57th
5/5/2016,57th Street,57th
5/6/2016,57th Street,57th
5/7/2016,57th Street,57th
5/8/2016,57th Street,57th
5/9/2016,57th Street,57th
5/10/2016,57th Street,57th
5/11/2016,57th Street,57th
5/12/2016,57th Street,57th
5/13/2016,57th Street,57th
5/14/2016,57th Street,57th
5/15/2016,57th Street,57th
5/16/2016,57th Street,57th
5/17/2016,57th Street,57th
5/18/2016,57th Street,57th
5/19/2016,57th Street,57th
5/20/2016,57th Street,57th
5/21/2016,57th Street,57th
5/22/2016,57th Street,57th
5/23/2016,57th Street,57th
5/24/2016,57th Street,57th
5/25/2016,57th Street,57th
5/26/2016,57th Street,57th
5/27/2016,57th Street,57th
5/28/2016,57th Street,57th
5/29/2016,57th Street,57th
5/30/2016,57th Street,57th
5/31/2016,57th Street,57th
6/1/2016,57th Street,57th
6/2/2016,57th Street,57th
6/3/2016,57th Street,57th
6/4/2016,57th Street,57th
6/5/2016,57th Street,57th
6/6/2016,57th Street,57th
6/7/2016,57th Street,57th
6/8/2016,57th Street,57th
6/9/2016,57th Street,57th
6/10/2016,57th Street,57th
6/11/2016,57th Street,57th
6/12/2016,57th Street,57th
6/13/2016,57th Street,57th
6/14/2016,57th Street,57th
6/15/2016,57th Street,57th
6/16/2016,57th Street,57th
6/17/2016,57th Street,57th
6/18/2016,57th Street,57th
6/19/2016,57th Street,57th
6/20/2016,57th Street,57th
6/21/2016,57th Street,57th
6/22/2016,57th Street,57th
6/23/2016,57th Street,57th
6/24/2016,57th Street,57th
6/25/2016,57th Street,57th
6/26/2016,57th Street,57th
6/27/2016,57th Street,57th
6/28/2016,57th Street,57th
6/29/2016,57th Street,57th
6/30/2016,57th Street,57th
7/1/2016,57th Street,57th
7/2/2016,57th Street,57th
7/3/2016,57th Street,57th
7/4/2016,57th Street,57th
7/5/2016,57th Street,57th
7/6/2016,57th Street,57th
7/7/2016,57th Street,57th
7/8/2016,57th Street,57th
7/9/2016,57th Street,57th
7/10/2016,57th Street,57th
7/11/2016,57th Street,57th
7/12/2016,57th Street,57th
7/13/2016,57th Street,57th
7/14/2016,57th Street,57th
7/15/2016,57th Street,57th
7/16/2016,57th Street,57th
7/17/2016,57th Street,57th
7/18/2016,57th Street,57th
7/19/2016,57th Street,57th
7/20/2016,57th Street,57th
7/21/2016,57th Street,57th
7/22/2016,57th Street,57th
7/23/2016,57th Street,57th
7/24/2016,57th Street,57th
7/25/2016,57th Street,57th
7/26/2016,57th Street,57th
7/27/2016,57th Street,57th
7/28/2016,57th Street,57th
7/29/2016,57th Street,57th
7/30/2016,57th Street,57th
7/31/2016,57th Street,57th
8/1/2016,57th Street,57th
8/2/2016,57th Street,57th
8/3/2016,57th Street,57th
8/4/2016,57th Street,57th
8/5/2016,57th Street,57th
8/6/2016,57th Street,57th
8/7/2016,57th Street,57th
8/8/2016,57th Street,57th
8/9/2016,57th Street,57th
8/10/2016,57th Street,57th
8/11/2016,57th Street,57th
8/12/2016,57th Street,57th
8/13/2016,57th Street,57th
8/14/2016,57th Street,57th
8/15/2016,57th Street,57th
8/16/2016,57th Street,57th
8/17/2016,57th Street,57th
8/18/2016,57th Street,57th
8/19/2016,57th Street,57th
8/20/2016,57th Street,57th
8/21/2016,57th Street,57th
8/22/2016,57th Street,57th
8/23/2016,57th Street,57th
8/24/2016,57th Street,57th
8/25/2016,57th Street,57th
8/26/2016,57th Street,57th
8/27/2016,57th Street,57th
8/28/2016,57th Street,57th
8/29/2016,57th Street,57th
8/30/2016,57th Street,57th
8/31/2016,57th Street,57th
9/1/2016,57th Street,57th
9/2/2016,57th Street,57th
9/3/2016,57th Street,57th
9/4/2016,57th Street,57th
9/5/2016,57th Street,57th
9/6/2016,57th Street,57th
9/7/2016,57th Street,57th
9/8/2016,57th Street,57th
9/9/2016,57th Street,57th
9/10/2016,57th Street,57th
9/11/2016,57th Street,57th
9/12/2016,57th Street,57th
9/13/2016,57th Street,57th
9/14/2016,57th Street,57th
9/15/2016,57th Street,57th
9/16/2016,57th Street,57th
9/17/2016,57th Street,57th
9/18/2016,57th Street,57th
9/19/2016,57th Street,57th
9/20/2016,57th Street,57th
9/21/2016,57th Street,57th
9/22/2016,57th Street,57th
9/23/2016,57th Street,57th
9/24/2016,57th Street,57th
9/25/2016,57th Street,57th
9/26/2016,57th Street,57th
9/27/2016,57th Street,57th
9/28/2016,57th Street,57th
9/29/2016,57th Street,57th
9/30/2016,57th Street,57th
5/1/2016,North Avenue,North Avenue
5/2/2016,North Avenue,North Avenue
5/3/2016,North Avenue,North Avenue
5/4/2016,North Avenue,North Avenue
5/5/2016,North Avenue,North Avenue
5/6/2016,North Avenue,North Avenue
5/7/2016,North Avenue,North Avenue
5/8/2016,North Avenue,North Avenue
5/9/2016,North Avenue,North Avenue
5/10/2016,North Avenue,North Avenue
5/11/2016,North Avenue,North Avenue
5/12/2016,North Avenue,North Avenue
5/13/2016,North Avenue,North Avenue
5/14/2016,North Avenue,North Avenue
5/15/2016,North Avenue,North Avenue
5/16/2016,North Avenue,North Avenue
5/17/2016,North Avenue,North Avenue
5/18/2016,North Avenue,North Avenue
5/19/2016,North Avenue,North Avenue
5/20/2016,North Avenue,North Avenue
5/21/2016,North Avenue,North Avenue
5/22/2016,North Avenue,North Avenue
5/23/2016,North Avenue,North Avenue
5/24/2016,North Avenue,North Avenue
5/25/2016,North Avenue,North Avenue
5/26/2016,North Avenue,North Avenue
5/27/2016,North Avenue,North Avenue
5/28/2016,North Avenue,North Avenue
5/29/2016,North Avenue,North Avenue
5/30/2016,North Avenue,North Avenue
5/31/2016,North Avenue,North Avenue
6/1/2016,North Avenue,North Avenue
6/2/2016,North Avenue,North Avenue
6/3/2016,North Avenue,North Avenue
6/4/2016,North Avenue,North Avenue
6/5/2016,North Avenue,North Avenue
6/6/2016,North Avenue,North Avenue
6/7/2016,North Avenue,North Avenue
6/8/2016,North Avenue,North Avenue
6/9/2016,North Avenue,North Avenue
6/10/2016,North Avenue,North Avenue
6/11/2016,North Avenue,North Avenue
6/12/2016,North Avenue,North Avenue
6/13/2016,North Avenue,North Avenue
6/14/2016,North Avenue,North Avenue
6/15/2016,North Avenue,North Avenue
6/16/2016,North Avenue,North Avenue
6/17/2016,North Avenue,North Avenue
6/18/2016,North Avenue,North Avenue
6/19/2016,North Avenue,North Avenue
6/20/2016,North Avenue,North Avenue
6/21/2016,North Avenue,North Avenue
6/22/2016,North Avenue,North Avenue
6/23/2016,North Avenue,North Avenue
6/24/2016,North Avenue,North Avenue
6/25/2016,North Avenue,North Avenue
6/26/2016,North Avenue,North Avenue
6/27/2016,North Avenue,North Avenue
6/28/2016,North Avenue,North Avenue
6/29/2016,North Avenue,North Avenue
6/30/2016,North Avenue,North Avenue
7/1/2016,North Avenue,North Avenue
7/2/2016,North Avenue,North Avenue
7/3/2016,North Avenue,North Avenue
7/4/2016,North Avenue,North Avenue
7/5/2016,North Avenue,North Avenue
7/6/2016,North Avenue,North Avenue
7/7/2016,North Avenue,North Avenue
7/8/2016,North Avenue,North Avenue
7/9/2016,North Avenue,North Avenue
7/10/2016,North Avenue,North Avenue
7/11/2016,North Avenue,North Avenue
7/12/2016,North Avenue,North Avenue
7/13/2016,North Avenue,North Avenue
7/14/2016,North Avenue,North Avenue
7/15/2016,North Avenue,North Avenue
7/16/2016,North Avenue,North Avenue
7/17/2016,North Avenue,North Avenue
7/18/2016,North Avenue,North Avenue
7/19/2016,North Avenue,North Avenue
7/20/2016,North Avenue,North Avenue
7/21/2016,North Avenue,North Avenue
