id,"name","url_code",latitude,longitude
121,"12th Street Beach","12th-Street-Beach",41.8637,-87.6075
122,"31st Street Beach","31st-Street-Beach",41.839,-87.606
123,"57th Street Beach","57th-Street-Beach",41.791,-87.579
124,"63rd Street Beach","63rd-Street-Beach",41.782,-87.573
125,"Calumet Beach","Calumet-Beach",41.715,-87.528
126,"Columbia Beach","Columbia-Beach",42.004,-87.657
127,"Fargo Beach","Fargo-Beach",42.016,-87.662
128,"Foster Beach","Foster-Beach",41.979,-87.65
129,"Hartigan Beach","Hartigan-Beach",42,-87.657
130,"Howard Beach","Howard-Beach",42.019,-87.664
131,"Humboldt Beach","Humboldt-Beach",NULL,NULL
132,"Marion Mahoney Griffin Beach","Marion-Mahoney-Griffin-Beach",42.015,-87.662
133,"Juneway Beach","Juneway-Beach",42.022,-87.665
134,"Lane Beach","Lane-Beach",41.99,-87.654
135,"Leone Beach","Leone-Beach",42.013,-87.661
136,"Loyola Beach","Loyola-Beach",42.01,-87.659
137,"Montrose Beach","Montrose-Beach",41.966,-87.637
138,"North Avenue Beach","North-Avenue-Beach",41.914,-87.624
139,"North Shore Beach","North-Shore-Beach",42.003,-87.657
140,"Oak Street Beach","Oak-Street-Beach",41.903,-87.623
141,"Oakwood Beach","Oakwood-Beach",41.821,-87.596
142,"Ohio Street Beach","Ohio-Street-Beach",41.893,-87.613
143,"Osterman Beach","Osterman-Beach",41.987,-87.652
144,"Rainbow Beach","Rainbow-Beach",41.759,-87.55
145,"Rogers Beach","Rogers-Beach",42.021,-87.664
146,"South Shore Beach","South-Shore-Beach",41.769,-87.562
147,"Tobey Prinz Beach","Tobey-Prinz-Beach",42.005,-87.657
