Beach,Date,Reading,Prediction,SwimStatus
Osterman-Beach,05/22/2015,0.0,4.9,No Restrictions
Osterman-Beach,05/23/2015,5.0,2.8,No Restrictions
Osterman-Beach,05/24/2015,0.0,3.2,No Restrictions
Osterman-Beach,05/25/2015,0.0,6.2,No Restrictions
Osterman-Beach,05/26/2015,4.0,7.1,No Restrictions
Osterman-Beach,05/27/2015,1.0,9.7,No Restrictions
Osterman-Beach,05/28/2015,3.0,4.8,No Restrictions
Osterman-Beach,05/29/2015,5.0,6.0,No Restrictions
Osterman-Beach,05/30/2015,0.0,12.1,Swim Ban
Osterman-Beach,05/31/2015,0.0,97.4,Swim Ban
Osterman-Beach,06/01/2015,113.0,15.3,Swim Ban
Osterman-Beach,06/02/2015,32.0,9.3,No Restrictions
Osterman-Beach,06/03/2015,5.0,5.6,No Restrictions
Osterman-Beach,06/04/2015,2.0,5.6,No Restrictions
Osterman-Beach,06/05/2015,92.0,18.3,Swim Advisory
Osterman-Beach,06/06/2015,0.0,47.1,Swim Advisory
Osterman-Beach,06/07/2015,0.0,7.8,No Restrictions
Osterman-Beach,06/08/2015,6.0,16.7,Swim Ban
Osterman-Beach,06/09/2015,3.0,11.8,No Restrictions
Osterman-Beach,06/10/2015,9.0,3.8,No Restrictions
Osterman-Beach,06/11/2015,748.0,11.1,No Restrictions
Osterman-Beach,06/12/2015,39.0,25.9,Swim Advisory
Osterman-Beach,06/13/2015,0.0,18.3,Swim Ban
Osterman-Beach,06/14/2015,0.0,18.3,No Restrictions
Osterman-Beach,06/15/2015,82.0,10.9,Swim Ban
Osterman-Beach,06/16/2015,238.0,57.7,Swim Ban
Osterman-Beach,06/17/2015,28.0,10.3,Swim Advisory
Osterman-Beach,06/18/2015,12.0,17.4,No Restrictions
Osterman-Beach,06/19/2015,51.0,24.3,Swim Advisory
Osterman-Beach,06/20/2015,0.0,16.0,No Restrictions
Osterman-Beach,06/21/2015,0.0,20.4,No Restrictions
Osterman-Beach,06/22/2015,57.0,10.5,Swim Ban
Osterman-Beach,06/23/2015,85.0,8.1,No Restrictions
Osterman-Beach,06/24/2015,23.0,5.4,No Restrictions
Osterman-Beach,06/25/2015,395.0,40.8,Swim Ban
Osterman-Beach,06/26/2015,151.0,20.4,Swim Advisory
Osterman-Beach,06/27/2015,0.0,22.1,Swim Ban
Osterman-Beach,06/28/2015,0.0,9.7,No Restrictions
Osterman-Beach,06/29/2015,15.0,15.9,No Restrictions
Osterman-Beach,06/30/2015,41.0,11.0,No Restrictions
Osterman-Beach,07/01/2015,124.0,29.3,No Restrictions
Osterman-Beach,07/02/2015,106.0,30.2,Swim Ban
Osterman-Beach,07/03/2015,0.0,20.1,No Restrictions
Osterman-Beach,07/04/2015,0.0,11.8,No Restrictions
Osterman-Beach,07/05/2015,0.0,13.3,No Restrictions
Osterman-Beach,07/06/2015,3.0,16.5,Swim Advisory
Osterman-Beach,07/07/2015,410.0,32.9,Swim Ban
Osterman-Beach,07/08/2015,291.0,11.4,Swim Advisory
Osterman-Beach,07/09/2015,314.0,17.8,Swim Advisory
Osterman-Beach,07/10/2015,47.0,8.5,Swim Advisory
Osterman-Beach,07/11/2015,0.0,11.6,No Restrictions
Osterman-Beach,07/12/2015,0.0,18.3,No Restrictions
Osterman-Beach,07/13/2015,274.0,19.4,No Restrictions
Osterman-Beach,07/14/2015,62.0,11.0,Swim Advisory
Osterman-Beach,07/15/2015,335.0,40.5,Swim Advisory
Osterman-Beach,07/16/2015,53.0,27.4,Swim Advisory
Osterman-Beach,07/17/2015,17.0,52.8,Swim Ban
Osterman-Beach,07/18/2015,0.0,16.7,Swim Ban
Osterman-Beach,07/19/2015,0.0,43.2,No Restrictions
Osterman-Beach,07/20/2015,30.0,16.2,No Restrictions
Osterman-Beach,07/21/2015,41.0,20.6,No Restrictions
Osterman-Beach,07/22/2015,69.0,12.4,No Restrictions
Osterman-Beach,07/23/2015,28.0,15.2,No Restrictions
Osterman-Beach,07/24/2015,14.0,14.2,No Restrictions
Osterman-Beach,07/25/2015,0.0,18.8,No Restrictions
Osterman-Beach,07/26/2015,0.0,23.3,No Restrictions
Osterman-Beach,07/27/2015,41.0,28.9,No Restrictions
Osterman-Beach,07/28/2015,47.0,24.3,Swim Advisory
Osterman-Beach,07/29/2015,37.0,25.3,No Restrictions
Osterman-Beach,07/30/2015,39.0,25.3,No Restrictions
Osterman-Beach,07/31/2015,15.0,11.3,No Restrictions
Osterman-Beach,08/01/2015,0.0,10.4,No Restrictions
Osterman-Beach,08/02/2015,0.0,17.9,Swim Ban
Osterman-Beach,08/03/2015,118.0,44.7,No Restrictions
Osterman-Beach,08/04/2015,11.0,12.2,No Restrictions
Osterman-Beach,08/05/2015,34.0,18.2,No Restrictions
Osterman-Beach,08/06/2015,65.0,43.3,No Restrictions
Osterman-Beach,08/07/2015,8.0,19.7,No Restrictions
Osterman-Beach,08/08/2015,0.0,22.0,No Restrictions
Osterman-Beach,08/09/2015,0.0,40.7,No Restrictions
